date,verb,core,preposition,fifth_hed
2015-10-21,Send,your bluntest,to,Four years of rejected license plates.
2015-10-28,Lob,your bluntest feedback,at,Porn.
2015-11-04,Fling,wildlife-friendly feedback,at,When planes attack.
2015-11-11,Horse-kick,feedback,at,Deadly Prussian horses.
2015-11-18,Instagram,your gin-soaked feedback,to,Britain’s booze.
2015-11-25,Serve,leftover feedback,to,A century of pumpkin pie.
2015-12-02,Send,baggy-eyed feedback,to,"Celebrity faces, annotated."
2015-12-09,Send,clean-shaven feedback,to,Know thy barber.
2015-12-16,Send,curse-laden feedback,to,Every obscenity and death in Quentin Tarantino's movies.
2015-12-23,Send,ornamental feedback,to,The emjoiverse.
2015-12-30,Send,forgotten feedback,to,Things lost (and not yet found) on the New York subway.
2016-01-06,Send,jewel-encrusted feedback,to,"The position of Michael Jackson’s white glove in all 10,060 frames of “Billie Jean.”"
2016-01-13,Send,diplomatic feedback,to,State Department per diems.
2016-01-20,Send,hyper-quantified feedback,to,One hyper-quantified human.
2016-01-27,Send,cursed feedback,to,The Survey of Scottish Witchcraft.
2016-02-03,Send,cinematic feedback,to,Movie chatter.
2016-02-10,Send,harmonic feedback,to,One million songs.
2016-02-17,Send,six-legged feedback,to,A quarter-million bugs.
2016-02-24,Send,maybe-funny feedback,to,Funny ha ha.
2016-03-02,Send,permit-approved feedback,to,"Lights, camera, permit."
2016-03-09,Send,crackerjack feedback,to,"Baseball, baseball, baseball."
2016-03-23,Send,squeaky feedback,to,Rodents of New York.
2016-03-30,Send,amber waves of feedback,to,"America, the varyingly beautiful."
2016-04-06,Send,feedback via raven,to,Jon Snow data.
2016-04-13,Send,airborne feedback,to,Plane papers.
2016-04-20,Send,tipsy feedback,to,License to distill.
2016-04-27,Send,intergalactic feedback,to,"A long time ago, in an API far, far away."
2016-05-04,Send,vintage feedback,to,Grape timing.
2016-05-11,Send,pulley-powered feedback,to,Upward mobility.
2016-05-18,Send,Grammy-winning feedback,to,Musical metadata.
2016-05-25,Send,underexposed feedback,to,Photography biography.
2016-06-01,Send,modular feedback,to,The LEGO-verse.
2016-06-08,Send,chart-topping feedback,to,*Billboard* hits and lyrics.
2016-06-15,Send,crabby feedback,to,Gone fishing.
2016-06-22,Send,low-frequency feedback,to,The Hum.
2016-07-06,Send,pointed feedback,to,You shouldn’t point lasers at airplanes.
2016-07-13,Send,gamified feedback,to,Catch ‘em all.
2016-07-20,Send,bureaucratic feedback,to,"Paperwork, work, work, work, work, work."
2016-07-27,Send,elusive feedback,to,Bigfoot sightings.
2016-08-03,Send,14.4kbps feedback,to,Email like it’s 1993.
